Structure of 2026
------------------------------------------------
Row 1: [ |  |  | Jan '26 | Fev '26 | Mar '26 | Apr '26 | May '26 | Jun '26 | Jul '26 | Aug '26 | Sep '26 | Oct '26 | Nov '26 | Dec '26]
Row 2: [[object Object] |  | Dados | 8358 | 15880.2 | 23402.4 | 30924.6 | 38446.8 | 45969 | 52655.4 | 59341.8 | 66028.2 | 72714.6 | 79401 | 86087.4]
Row 3: [Impostos (Preencher Aliquota em C3) |  | 0.16 | 1337.28 | 2540.832 | 3744.384 | 4947.936 | 6151.488 | 7355.04 | 8424.864 | 9494.688 | 10564.512 | 11634.336 | 12704.16 | 13773.984]
Row 4: [[object Object] |  |  | 7020.72 | 13339.368 | 19658.016 | 25976.664 | 32295.312 | 38613.96 | 44230.536 | 49847.112 | 55463.688 | 61080.264 | 66696.84 | 72313.416]
Row 5: [ Receita Fixa |  |  | 5970 | 11343 | 16716 | 22089 | 27462 | 32835 | 37611 | 42387 | 47163 | 51939 | 56715 | 61491]
Row 6: [     Mensalidade |  |  | 5970 | 11343 | 16716 | 22089 | 27462 | 32835 | 37611 | 42387 | 47163 | 51939 | 56715 | 61491]
Row 7: [         Usuários (Preencher Meta de Vendas Mensal em C7) |  | 10 | 10 | 19 | 28 | 37 | 46 | 55 | 63 | 71 | 79 | 87 | 95 | 103]
Row 8: [         Mensalidade por Cliente (Preencher Churn em C8) |  | 0.02 | 597 | 597 | 597 | 597 | 597 | 597 | 597 | 597 | 597 | 597 | 597 | 597]
Row 9: [ Receita Variável |  |  | 2388 | 4537.2 | 6686.4 | 8835.6 | 10984.8 | 13134 | 15044.4 | 16954.8 | 18865.2 | 20775.6 | 22686 | 24596.4]
Row 10: [     Comissão sobre Vendas Recuperadas |  |  | 2388 | 4537.2 | 6686.4 | 8835.6 | 10984.8 | 13134 | 15044.4 | 16954.8 | 18865.2 | 20775.6 | 22686 | 24596.4]
Row 11: [         Média - Suposição de Comissão por Cliente (Mínimo da Garantia deixar C12 sem preenchimento) |  | 0.2 | 238.8 | 238.8 | 238.8 | 238.8 | 238.8 | 238.8 | 238.8 | 238.8 | 238.8 | 238.8 | 238.8 | 238.8]
Row 12: [         Média - Suposição de Comissão por Cliente (Preencher Valor em C12) |  |  |  |  |  |  |  |  |  |  |  |  |  | ]
Row 13: [[object Object] |  |  | 4222.22 | 8022.22 | 11822.22 | 15622.21 | 19422.21 | 23222.21 | 26599.99 | 29977.76 | 33355.54 | 36733.31 | 40111.09 | 43488.87]
Row 14: [ Resultado Bruto (%) |  |  | 0.51 | 0.51 | 0.51 | 0.51 | 0.51 | 0.51 | 0.51 | 0.51 | 0.51 | 0.51 | 0.51 | 0.51]
Row 15: [  |  |  |  |  |  |  |  |  |  |  |  |  |  | ]
Row 16: [ Despesa total |  |  | 37546.5 | 38097.15 | 40615.8 | 43134.45 | 45653.1 | 48171.75 | 51410.55 | 53649.35 | 55888.15 | 58126.95 | 60365.75 | 62604.55]
Row 17: [[object Object] |  |  | 2798.5 | 5317.15 | 7835.8 | 10354.45 | 12873.1 | 15391.75 | 17630.55 | 19869.35 | 22108.15 | 24346.95 | 26585.75 | 28824.55]
Row 18: [     Taxas de Checkout e Plataformas (Preencher Taxa em C18) |  | 0.05 | 298.5 | 567.15 | 835.8 | 1104.45 | 1373.1 | 1641.75 | 1880.55 | 2119.35 | 2358.15 | 2596.95 | 2835.75 | 3074.55]
Row 19: [     Ferramentas Operacionais |  |  | 2500 | 4750 | 7000 | 9250 | 11500 | 13750 | 15750 | 17750 | 19750 | 21750 | 23750 | 25750]
Row 20: [         Servidor |  |  | 100 | 190 | 280 | 370 | 460 | 550 | 630 | 710 | 790 | 870 | 950 | 1030]
